ticker,report_date,fiscal_year,accession_number,metric_name,status,value,validation_reason,is_primary_root_item,root_metrics,root_causes
ORCL,2021-05-31,2021,0001564590-21-033616,effective_tax_rate,REVIEW_REQUIRED,-0.05746595891991692,"שיעור המס האפקטיבי המדווח (-0.05746595891991692) מחוץ לטווח הסביר [0, 1].",True,effective_tax_rate,effective_tax_rate::outside_plausible_range
ORCL,2021-05-31,2021,0001564590-21-033616,nopat,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'operating_income': 'PASS', 'effective_tax_rate': 'REVIEW_REQUIRED'}",False,effective_tax_rate,effective_tax_rate::outside_plausible_range
ORCL,2021-05-31,2021,0001564590-21-033616,roic,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'nopat': 'REVIEW_REQUIRED', 'average_invested_capital': 'PASS'}",False,effective_tax_rate,effective_tax_rate::outside_plausible_range
META,2020-12-31,2020,0001326801-21-000014,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,True,current_debt,current_debt::zero_inference_role_not_found
META,2020-12-31,2020,0001326801-21-000014,long_term_debt,REVIEW_REQUIRED,,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",True,long_term_debt,long_term_debt::ancestry_confirmed_absent
META,2020-12-31,2020,0001326801-21-000014,total_debt,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'current_debt': 'REVIEW_REQUIRED', 'long_term_debt': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2020-12-31,2020,0001326801-21-000014,adjusted_net_debt,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'total_debt': 'REVIEW_REQUIRED', 'cash_and_equivalents': 'PASS', 'short_term_investments': 'PASS'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2020-12-31,2020,0001326801-21-000014,invested_capital,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'total_debt': 'REVIEW_REQUIRED', 'stockholders_equity': 'PASS', 'cash_and_equivalents': 'PASS', 'short_term_investments': 'PASS'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2020-12-31,2020,0001326801-21-000014,average_invested_capital,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'invested_capital': 'REVIEW_REQUIRED', 'invested_capital_prior': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt;current_debt_prior;long_term_debt_prior,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent;current_debt_prior::zero_inference_role_not_found;long_term_debt_prior::ancestry_confirmed_absent
META,2020-12-31,2020,0001326801-21-000014,roic,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'nopat': 'PASS', 'average_invested_capital': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt;current_debt_prior;long_term_debt_prior,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent;current_debt_prior::zero_inference_role_not_found;long_term_debt_prior::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,current_debt,REVIEW_REQUIRED,,current_debt = 0 לא הוסק (תנאי 2 לא הוכח): לא נמצא באופן חד-משמעי ביאור לוח פירעונות חוב (Debt Maturity Schedule) — לא ניתן לאשר תנאי 2.,True,current_debt,current_debt::zero_inference_role_not_found
META,2021-12-31,2021,0001326801-22-000018,long_term_debt,REVIEW_REQUIRED,,"לא נמצאה אף שורת 'long_term_debt' בתוך Statement role ראשי התואם לכללי ה-Role של המדד, וגם לא נמצאה שורת חוב לא-שוטף מועמדת לפי שרשרת ה-Ancestor (מדיניות D-019).",True,long_term_debt,long_term_debt::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,total_debt,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'current_debt': 'REVIEW_REQUIRED', 'long_term_debt': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,adjusted_net_debt,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'total_debt': 'REVIEW_REQUIRED', 'cash_and_equivalents': 'PASS', 'short_term_investments': 'PASS'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,invested_capital,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'total_debt': 'REVIEW_REQUIRED', 'stockholders_equity': 'PASS', 'cash_and_equivalents': 'PASS', 'short_term_investments': 'PASS'}",False,current_debt;long_term_debt,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,average_invested_capital,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'invested_capital': 'REVIEW_REQUIRED', 'invested_capital_prior': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt;current_debt_prior;long_term_debt_prior,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent;current_debt_prior::zero_inference_role_not_found;long_term_debt_prior::ancestry_confirmed_absent
META,2021-12-31,2021,0001326801-22-000018,roic,REVIEW_REQUIRED,,"לא ניתן לחשב מדד נגזר כי לא כל הרכיבים עברו PASS: {'nopat': 'PASS', 'average_invested_capital': 'REVIEW_REQUIRED'}",False,current_debt;long_term_debt;current_debt_prior;long_term_debt_prior,current_debt::zero_inference_role_not_found;long_term_debt::ancestry_confirmed_absent;current_debt_prior::zero_inference_role_not_found;long_term_debt_prior::ancestry_confirmed_absent
